name,localName,sku,barcode,brand,category,subcategory,unit,purchasePrice,costPrice,retailPrice,wholesalePrice,openingStock,stockAlertQty,commissionPct,status,condition,description
PHONE HOLDER,,ACC-PHONE-NON-73,,NON-BRANDED,ACCESSORIES,PHONE ACCESSORIES,Pieces,0.00,0.00,5.00,,0.0,,,Active,New,
IP 14 WHITE BACK GLASS NFC,,REP-NFC-NON-374,,NON-BRANDED,REPLACEMENT / REPAIR PARTS,GLASS NFC,Pieces,12.00,12.00,0.00,,1.0,,,Active,New,
REPAIR SERVICE,,SER--NON-683,,NON-BRANDED,SERVICES,REPAIR,Pieces,4.00,4.00,29.00,,1.0,,,Active,New,
"XBOX ONE S ALL-DIGITAL EDITION 1TB CONSOLE, DISCOUNTED (NO DLC)",,GAM-CONS-XBOX-208,,XBOX,GAMES,CONSOLE,Pieces,35.00,35.00,69.00,,1.0,,,Active,New,
11 PRO GOLD 64 GB,,DEV-IPHONE-APPLE-105,,APPLE,DEVICES,IPHONE,Pieces,90.00,90.00,160.00,,1.0,,,Active,New,
A 16 CASE BLAK CASE,,SCR-GLASS-NON-592,,NON-BRANDED,SCREEN / DEVICE PROTECTION,CASE AND GLASS,Pieces,1.00,1.00,5.00,,0.0,,,Active,New,
14 PLUS BODY CASE,,SCR-GLASS-NON-591,,NON-BRANDED,SCREEN / DEVICE PROTECTION,CASE AND GLASS,Pieces,20.00,20.00,70.00,,1.0,,,Active,New,
REPAIR SERVICE,,SER--NON-684,,NON-BRANDED,SERVICES,,Pieces,12.99,12.99,35.00,,0.0,,,Active,New,
A16 CASE,,SCR-CASE-NON-588,,NON-BRANDED,SCREEN / DEVICE PROTECTION,PHONE CASE,Pieces,1.00,1.00,5.00,,0.0,,,Active,New,
12 PRO 128GB BLUE,,DEV-IPHONE-APPLE-106,,APPLE,DEVICES,IPHONE,Pieces,140.00,140.00,175.00,,0.0,,,Active,New,
CHROMEBOOK REPAIR LCD,,SER--CHROM-685,,CHROMEBOOK,SERVICES,REPAIR,Pieces,24.00,24.00,49.00,,0.0,,,Active,New,
SMA32 128GB,,DEV-PHONE-SAMS-176,,SAMSUNG,DEVICES,PHONE,Pieces,45.00,45.00,70.00,,2.0,,,Active,New,
SAMSUNG GLAXY A6 32GB  ANDROID 10,,DEV-PHONE-SAMS-164,,SAMSUNG,DEVICES,PHONE,Pieces,28.00,28.00,59.00,,4.0,,,Active,New,
SAMSUNG S8  32GB,,DEV-PHONE-SAMS-168,,SAMSUNG,DEVICES,PHONE,Pieces,28.00,28.00,49.00,,1.0,,,Active,New,
SAMSUNG J7 16GB,,DEV-PHONE-SAMS-165,,SAMSUNG,DEVICES,PHONE,Pieces,28.00,28.00,59.00,,2.0,,,Active,New,
SAMSUNG A40 64GB,,DEV-PHONE-SAMS-162,,SAMSUNG,DEVICES,PHONE,Pieces,45.00,45.00,70.00,,4.0,,,Active,New,
SAMSUNG A41 64GB,,DEV-PHONE-SAMS-163,,SAMSUNG,DEVICES,PHONE,Pieces,50.00,50.00,89.00,,1.0,,,Active,New,
A 10,,DEV-PHONE-SAMS-177,,SAMSUNG,DEVICES,PHONE,Pieces,28.00,28.00,37.00,,1.0,,,Active,New,
HUAWEI BUDGET PHONE,,DEV-PHONE-HUAW-123,,HUAWEI,DEVICES,PHONE,Pieces,28.00,28.00,35.00,,7.0,,,Active,New,
HUAWEI LX1,,DEV-PHONE-HUAW-124,,HUAWEI,DEVICES,PHONE,Pieces,28.00,28.00,39.00,,3.0,,,Active,New,
