name,localName,model,sku,barcode,brand,category,subcategory,subSubcategory,department,unit,purchasePrice,costPrice,retailPrice,wholesalePrice,openingStock,stockAlertQty,commissionPct,status,condition,description,variantName,variantAttrName,variantAttrValue,variantSku,variantBarcode,variantPrice,variantPurchasePrice,variantCostPrice,variantWholesalePrice,variantStock,variantCondition
Magnetic Car Phone Holder Model CM-138,,-,Acc | HOLD | 1,,KF,Accessories,Phone Holder,,,PCS,,,,,9,,,Active,,,,,,,,,,,,,
CM138 360° Rotation mobile holder,,-,Acc | HOLD | 2,,KF,Accessories,Phone Holder,,,PCS,,,,,9,,,Active,,,,,,,,,,,,,
Magnetic Absorption BracketModel UH-02,,-,Acc | BRAC | 3,,UR,Accessories,Absorption Bracket,,,PCS,,,,,30,,,Active,,,,,,,,,,,,,
Magnetic Absorption BracketModel UH-03,,-,Acc | BRAC | 4,,UR,Accessories,Absorption Bracket,,,PCS,,,,,34,,,Active,,,,,,,,,,,,,
Gravity Mechanical Car MountUH-04,,-,Acc | MOUNT | 5,,UR,Accessories,Car Mount,,,PCS,,,,,30,,,Active,,,,,,,,,,,,,
Magnetic Car HolderUH-01,,-,Acc | HOLD | 6,,UR,Accessories,Phone Holder,,,PCS,,,,,17,,,Active,,,,,,,,,,,,,
S38-C Auto Power off Cable,,-,Cab | DATA | 7,,KF,Cables,Cable,,,PCS,,,,,29,,,Active,,,,,,,,,,,,,
Data Cable 100W Type C to C Model S12,,-,Cab | DATA | 8,,KF,Cables,Data Cable,,,PCS,,,,,27,,,Active,,,,,,,,,,,,,
Data Cable 60W Type C to C Model S38,,-,Cab | DATA | 9,,KF,Cables,Data Cable,,,PCS,,,,,29,,,Active,,,,,,,,,,,,,
S-12 1.2M type C to C 100w cable,,-,Cab | DATA | 10,,KF,Cables,Type C to C,,,PCS,,,,,27,,,Active,,,,,,,,,,,,,
Dual Type CModel UC-02,,-,Cab | DATA | 11,,UR,Cables,Dual Type C,,,PCS,,,,,12,,,Active,,,,,,,,,,,,,
